Industry Title,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Agriculture,99756,92590,98312,99836,95629,113953,142945,128347,125130,144062,147244,129968,146299,180945,179573,215601,201003,180655,164281,174579,166464
Mining,81692,84543,110581,123924,112417,139000,166517,225677,273322,313963,392175,275841,305838,356315,358798,386519,416375,259863,215621,287324,346645
Utilities,163685,179865,180122,181332,177618,184029,199216,198143,226848,231907,241686,258241,278837,287459,279651,286340,298076,299214,302355,315114,325852
Construction,379790,417600,461341,486485,493560,525240,584643,651816,697083,715327,648879,565647,525126,524431,553419,587553,636899,695598,745534,790367,839143
Staples,850712,874870,924786,833390,832842,863191,905121,956799,1004410,1030624,999726,880961,964324,1015190,1061711,1101963,1134092,1184000,1190531,1230670,1296405
Consumer Cyclicals,579897,614063,625409,640460,635650,661023,702977,736642,789434,814121,801118,821175,832686,852375,865346,889941,916140,942537,910646,954424,1024786
Wholesale trade,563735,584013,622624,613752,613147,641450,697110,754949,811473,857827,884319,834180,888905,934907,997353,1040067,1088175,1142481,1133764,1164604,1212229
Retail trade,626912,652622,685504,709492,732632,769610,795568,840827,869941,869218,848675,827625,851508,871932,908415,949451,974513,1024743,1056507,1084269,1126879
Transportation,279997,290034,307829,308058,305677,321444,352062,375824,410382,413904,426803,404626,433036,451444,471965,491099,521839,564448,580756,612408,658125
Tech,434630,485007,471299,502386,550582,564861,620363,642338,651995,706937,742961,721922,753280,759819,758952,828928,842420,897997,959338,997621,1067744
Real estate,1072172,1162043,1231673,1324998,1400528,1449599,1516727,1632468,1709732,1817723,1889494,1901062,1939357,2019282,2098159,2177856,2265413,2381934,2485892,2602146,2734282
Finance,637935,675073,743055,803103,816432,846319,872387,973705,1034192,1030549,873248,966604,1003613,1026042,1162805,1144934,1282633,1371593,1444263,1486320,1567321
business services,913999,997160,1105069,1155475,1189856,1247434,1341035,1446406,1546640,1666712,1777104,1688720,1766836,1856659,1964658,2017289,2118443,2234897,2302525,2427560,2579417
health care,615762,653949,695441,749895,807030,862800,927339,970491,1035450,1087932,1184815,1267493,1310657,1354713,1407364,1447192,1491925,1571852,1650716,1708925,1792456
Arts and food services,322093,354054,386540,390728,413527,432128,461170,481238,511537,533504,542721,533281,555795,580917,621361,651327,691354,739692,781250,815397,860608
Other services,248732,260827,279735,265574,284895,283818,297278,310699,325045,330483,330268,326535,327992,333090,347991,356282,376588,392433,402110,414073,437228
