Date,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction,,ScaledVal
2000,0,0,0,20,0,24,0,5,45,43,24,87,22,25,26,44,,0
2001,78,0,0,24,2,32,60,12,32,28,20,79,12,10,21,32,,0.02516129
2002,93,0,0,36,6,76,120,25,38,35,38,90,11,37,30,37,,0.03
2003,47,0,0,12,0,24,70,6,8,6,10,26,4,6,7,16,,0.01516129
2004,21,0,0,0,7,2,49,0,6,3,0,5,1,1,2,0,,0.006774194
2005,12,0,0,0,7,0,12,0,5,29,1,2,0,3,0,0,,0.003870968
2006,6,4,35,1,3,0,28,0,11,23,0,3,0,0,0,0,,0.001935484
2007,3,8,75,22,35,14,19,10,20,31,7,5,1,8,1,12,,0.000967742
2008,48,57,157,104,95,74,81,55,69,93,59,59,21,45,22,66,,0.015483871
2009,23,41,96,83,106,38,65,36,59,60,51,37,7,15,13,46,,0.007419355
2010,15,22,44,23,30,13,42,13,29,23,20,16,3,6,6,17,,0.00483871
2011,24,31,53,40,32,17,48,24,43,45,31,19,4,6,14,26,,0.007741935
2012,8,3,48,4,2,3,14,2,9,7,3,4,0,0,0,2,,0.002580645
2013,19,2,32,3,5,1,5,3,4,3,2,1,2,2,1,2,,0.006129032
2014,33,2,13,0,1,3,8,0,4,8,3,2,0,0,4,1,,0.010645161
2015,39,4,15,5,5,7,21,5,10,27,7,8,3,8,8,8,,0.012580645
2016,45,5,23,11,5,14,22,4,12,29,5,8,2,5,7,4,,0.014516129
2017,9,0,2,0,0,8,7,0,1,1,0,2,0,0,0,0,,0.002903226
2018,23,15,26,9,7,9,35,8,13,18,12,23,4,4,10,15,,0.007419355
2019,11,6,5,3,0,4,31,5,6,9,6,10,1,0,3,6,,0.003548387
2020,30,36,44,41,34,26,47,30,34,48,34,30,20,34,24,27,,0.009677419
